click_id,date,order,country,session ID,page 1 (main category),page 2 (clothing model),colour,location,model photography,page,price,Clicked
1,2024-04-01,1,29,1,1.0,A13,1,5,1,1,39.0,1
2,2024-04-01,2,29,1,1.0,A16,1,6,1,1,40.0,0
3,2024-04-01,3,29,1,2.0,B4,10,2,1,1,46.0,1
4,2024-04-01,4,29,1,2.0,B17,6,6,2,1,30.0,0
5,2024-04-01,5,29,1,2.0,B8,4,3,2,1,41.0,0
6,2024-04-01,6,29,1,3.0,C56,6,1,2,4,54.0,0
7,2024-04-01,7,29,1,3.0,C57,5,1,2,4,40.0,0
8,2024-04-01,8,29,1,4.0,P67,9,5,1,4,41.0,0
9,2024-04-01,9,29,1,4.0,P82,6,4,2,5,46.0,0
10,2024-04-01,1,29,2,2.0,B31,9,5,1,2,51.0,0
11,2024-04-01,2,29,2,2.0,B21,12,1,1,2,47.0,1
12,2024-04-01,3,29,2,2.0,B24,11,2,1,2,47.0,0
13,2024-04-01,4,29,2,2.0,B27,2,3,1,2,53.0,1
14,2024-04-01,5,29,2,1.0,A10,3,4,1,1,47.0,1
15,2024-04-01,6,29,2,1.0,A10,3,4,1,1,42.0,0
16,2024-04-01,7,29,2,2.0,B27,2,3,1,2,51.0,0
17,2024-04-01,8,29,2,4.0,P1,3,1,1,1,53.0,0
18,2024-04-01,9,29,2,4.0,P34,9,6,2,2,37.0,0
19,2024-04-01,10,29,2,4.0,,9,5,1,2,37.0,1
20,2024-04-01,1,21,3,2.0,B17,6,6,2,1,54.0,0
21,2024-04-01,2,21,3,3.0,C4,4,2,1,1,42.0,1
22,2024-04-01,3,21,3,3.0,C7,13,3,1,1,40.0,0
23,2024-04-01,4,21,3,3.0,,9,4,2,1,31.0,1
24,2024-04-01,5,21,3,3.0,C17,14,6,1,1,58.0,0
25,2024-04-01,6,21,3,4.0,P77,7,2,1,5,44.0,0
26,2024-04-01,1,21,4,1.0,A34,2,6,1,2,41.0,1
27,2024-04-01,2,21,4,1.0,A37,2,1,1,3,49.0,0
28,2024-04-01,3,21,4,3.0,C4,4,2,1,1,46.0,1
29,2024-04-01,4,21,4,3.0,C25,2,3,1,2,43.0,0
30,2024-04-01,1,9,5,3.0,C21,14,1,1,2,62.0,1
31,2024-04-01,1,9,6,3.0,C7,13,3,1,1,38.0,1
32,2024-04-01,2,9,6,3.0,C15,6,5,1,1,48.0,0
33,2024-04-01,3,9,6,3.0,C53,14,6,1,3,46.0,0
34,2024-04-01,4,9,6,2.0,B17,6,6,2,1,41.0,0
35,2024-04-01,5,9,6,2.0,B26,13,3,1,2,46.0,0
36,2024-04-01,1,29,7,1.0,A11,3,4,1,1,49.0,1
37,2024-04-01,2,29,7,3.0,C5,11,2,1,1,43.0,1
38,2024-04-01,3,29,7,4.0,P60,14,2,1,4,40.0,1
39,2024-04-01,4,29,7,4.0,P56,2,1,1,4,40.0,1
40,2024-04-01,5,29,7,4.0,P55,14,1,2,4,46.0,0
41,2024-04-01,6,29,7,4.0,,9,4,2,3,37.0,0
42,2024-04-01,7,29,7,4.0,P50,6,5,2,3,37.0,0
43,2024-04-01,8,29,7,4.0,P42,6,2,2,3,29.0,0
44,2024-04-01,9,29,7,4.0,P23,6,2,2,2,41.0,0
45,2024-04-01,10,29,7,4.0,P1,3,1,1,1,38.0,0
46,2024-04-01,11,29,7,2.0,B4,10,2,1,1,38.0,0
47,2024-04-01,1,9,8,3.0,C49,4,5,2,3,30.0,0
48,2024-04-01,2,9,8,2.0,B23,7,2,1,2,34.0,0
49,2024-04-01,3,9,8,3.0,C5,11,2,1,1,50.0,0
50,2024-04-01,4,9,8,3.0,C19,12,1,1,2,44.0,0
51,2024-04-01,5,9,8,3.0,C34,7,6,1,2,47.0,0
52,2024-04-01,6,9,8,3.0,C40,14,2,2,3,42.0,1
53,2024-04-01,7,9,8,3.0,C50,9,5,2,3,25.0,0
54,2024-04-01,8,9,8,3.0,C42,7,2,1,3,43.0,1
55,2024-04-01,9,9,8,2.0,B24,11,2,1,2,42.0,0
56,2024-04-01,1,29,9,1.0,A18,4,6,1,1,24.0,0
57,2024-04-01,2,29,9,1.0,A1,8,1,1,1,45.0,1
58,2024-04-01,3,29,9,2.0,B26,13,3,1,2,36.0,1
59,2024-04-01,1,16,10,1.0,A1,8,1,1,1,48.0,0
60,2024-04-01,2,16,10,2.0,B1,4,1,1,1,52.0,0
61,2024-04-01,3,16,10,2.0,B4,10,2,1,1,54.0,0
62,2024-04-01,4,16,10,2.0,B16,12,6,1,1,39.0,0
63,2024-04-01,5,16,10,2.0,B17,6,6,2,1,41.0,0
64,2024-04-01,1,9,11,1.0,A3,3,1,1,1,61.0,0
65,2024-04-01,1,29,12,2.0,B4,10,2,1,1,55.0,1
66,2024-04-01,2,29,12,2.0,B3,12,1,1,1,51.0,1
67,2024-04-01,3,29,12,2.0,B3,12,1,1,1,47.0,1
68,2024-04-01,4,29,12,2.0,B30,9,4,1,2,49.0,0
69,2024-04-01,5,29,12,2.0,B27,2,3,1,2,49.0,1
70,2024-04-01,6,29,12,3.0,C17,14,6,1,1,45.0,0
71,2024-04-01,7,29,12,4.0,P16,7,6,1,1,35.0,0
72,2024-04-01,1,38,13,1.0,A1,8,1,1,1,40.0,0
73,2024-04-01,2,38,13,1.0,A2,3,1,1,1,38.0,1
74,2024-04-01,3,38,13,1.0,A5,3,2,1,1,46.0,0
75,2024-04-01,1,9,14,1.0,A41,4,2,1,3,42.0,1
76,2024-04-01,1,21,15,1.0,A1,8,1,1,1,21.0,0
77,2024-04-01,2,21,15,1.0,A2,3,1,1,1,52.0,0
78,2024-04-01,3,21,15,1.0,A5,3,2,1,1,34.0,0
79,2024-04-01,4,21,15,2.0,B1,4,1,1,1,52.0,0
80,2024-04-01,5,21,15,2.0,B2,3,1,2,1,57.0,1
81,2024-04-01,6,21,15,2.0,B3,12,1,1,1,47.0,1
82,2024-04-01,7,21,15,2.0,B13,12,5,2,1,72.0,0
83,2024-04-01,8,21,15,2.0,,9,5,1,1,40.0,0
84,2024-04-01,9,21,15,2.0,B16,12,6,1,1,42.0,0
85,2024-04-01,10,21,15,2.0,B17,6,6,2,1,52.0,0
86,2024-04-01,11,21,15,2.0,B9,1,3,1,1,41.0,0
87,2024-04-01,12,21,15,2.0,B20,8,1,1,2,46.0,1
88,2024-04-01,13,21,15,2.0,B21,12,1,1,2,61.0,0
89,2024-04-01,14,21,15,2.0,B23,7,2,1,2,40.0,1
90,2024-04-01,15,21,15,2.0,B25,6,3,1,2,42.0,0
91,2024-04-01,16,21,15,2.0,B26,13,3,1,2,49.0,0
92,2024-04-01,17,21,15,2.0,B33,6,5,2,2,57.0,0
93,2024-04-01,18,21,15,2.0,B34,2,6,1,2,56.0,0
94,2024-04-01,19,21,15,3.0,C2,12,1,1,1,49.0,0
95,2024-04-01,20,21,15,3.0,C5,11,2,1,1,49.0,0
96,2024-04-01,21,21,15,3.0,C33,14,5,1,2,42.0,0
97,2024-04-01,22,21,15,3.0,C35,9,6,1,2,40.0,0
98,2024-04-01,23,21,15,3.0,C55,13,1,1,4,48.0,0
99,2024-04-01,24,21,15,3.0,C56,6,1,2,4,55.0,0
100,2024-04-01,25,21,15,3.0,C59,5,2,2,4,34.0,0
101,2024-04-01,1,29,16,4.0,P61,1,3,2,4,29.0,0
102,2024-04-01,2,29,16,4.0,P62,12,3,2,4,40.0,0
103,2024-04-01,1,9,17,3.0,C7,13,3,1,1,42.0,0
104,2024-04-01,2,9,17,3.0,C57,5,1,2,4,41.0,0
105,2024-04-01,3,9,17,1.0,A6,3,2,1,1,41.0,1
106,2024-04-01,4,9,17,3.0,C47,13,4,2,3,34.0,1
107,2024-04-01,5,9,17,2.0,B26,13,3,1,2,60.0,1
108,2024-04-01,6,9,17,2.0,B33,6,5,2,2,30.0,0
109,2024-04-01,7,9,17,2.0,B32,6,5,1,2,42.0,1
110,2024-04-01,1,9,18,1.0,A17,2,6,1,1,67.0,0
111,2024-04-01,2,9,18,1.0,A17,2,6,1,1,50.0,0
112,2024-04-01,3,9,18,1.0,A2,3,1,1,1,1364.0,1
113,2024-04-01,4,9,18,1.0,A1,8,1,1,1,41.0,0
114,2024-04-01,5,9,18,1.0,A7,3,3,1,1,43.0,0
115,2024-04-01,6,9,18,1.0,A8,3,3,1,1,60.0,1
116,2024-04-01,7,9,18,1.0,A9,3,3,1,1,59.0,0
117,2024-04-01,8,9,18,1.0,A20,2,1,2,2,45.0,0
118,2024-04-01,9,9,18,1.0,A34,2,6,1,2,38.0,0
119,2024-04-01,10,9,18,1.0,A32,2,5,1,2,42.0,0
120,2024-04-01,11,9,18,3.0,C7,13,3,1,1,45.0,0
121,2024-04-01,1,29,19,1.0,A10,3,4,1,1,49.0,0
122,2024-04-01,2,29,19,3.0,C11,7,4,1,1,39.0,0
123,2024-04-01,3,29,19,3.0,C5,11,2,1,1,38.0,0
124,2024-04-01,4,29,19,3.0,C22,11,2,2,2,37.0,0
